Source,Title,Link,PubDate,Scraped
Kenyans.co.ke,Babu Owino Links Sakaja to Nairobi Goons,https://www.kenyans.co.ke/news/113226-babu-owino-accuses-sakaja-sponsoring-goons-behind-nairobi-chaos,2025-06-18T09:35:46+0300,2025-06-18T06:51:02Z
Kenyans.co.ke,"Police Did Not Steal Laptops, They Recovered Them - Passaris",https://www.kenyans.co.ke/news/113225-passaris-police-seen-laptops-during-cbd-protests-had-recovered-them,2025-06-18T09:00:40+0300,2025-06-18T06:51:02Z
Kenyans.co.ke,Raila Jr Cautions Govt Over Rise of Goons,https://www.kenyans.co.ke/news/113223-raila-jr-warns-haiti-style-chaos-after-goons-spotted-nairobi-protests,2025-06-18T08:40:56+0300,2025-06-18T06:51:02Z
Kenyans.co.ke,Health DG Amoth Gives Update on Status of City Hawker Shot by Police,https://www.kenyans.co.ke/news/113224-city-hawker-shot-police-undergoes-surgery-icu-health-dg-amoth,2025-06-18T08:15:28+0300,2025-06-18T06:51:02Z
Kenyans.co.ke,Terror Suspect Carrying Explosives Arrested in Nairobi CBD,https://www.kenyans.co.ke/news/113222-terror-suspect-nabbed-explosives-nairobi-cbd,2025-06-18T07:45:19+0300,2025-06-18T06:51:02Z
Kenyans.co.ke,"Preacher Gilbert Deya Dead, 30 University Students Injured in Road Crash",https://www.kenyans.co.ke/news/113221-preacher-gilbert-deya-dead-30-others-injured-road-crash-along-kisumu-bondo-highway,2025-06-18T07:15:33+0300,2025-06-18T06:51:02Z
Kenyans.co.ke,I Warned You: Gachagua to Protesters,https://www.kenyans.co.ke/news/113220-i-warned-you-gachagua-protesters-after-police-shooting,2025-06-17T19:33:16+0300,2025-06-18T06:51:02Z
Kenyans.co.ke,Officer Who Shot Mask Hawker During Protests Arrested,https://www.kenyans.co.ke/news/113218-police-officer-who-shot-mask-hawker-during-protests-nairobi-cbd-arrested,2025-06-17T19:24:32+0300,2025-06-18T06:51:02Z
Kenyans.co.ke,"Ichung'wah Defends Police, Asks Kenyans to Respect Officers",https://www.kenyans.co.ke/news/113217-mp-asks-kenyans-respect-police-moments-after-cop-shoots-mask-vendor,2025-06-17T18:52:00+0300,2025-06-18T06:51:02Z
Kenyans.co.ke,Mutua Slams Gachagua Over His Cousins Narrative,https://www.kenyans.co.ke/news/113216-labour-cs-alfred-mutua-slams-gachagua-over-his-cousins-narrative-terms-it-disrespectful,2025-06-17T18:14:52+0300,2025-06-18T06:51:02Z
Kenyans.co.ke,School Bus Involved in Accident After Driver Falls Sick,https://www.kenyans.co.ke/news/113215-school-bus-veers-ditch-kasarani,2025-06-17T17:47:29+0300,2025-06-18T06:51:02Z
Kenyans.co.ke, Panic as Kenyans Reportedly Trapped in the Indian Ocean,https://www.kenyans.co.ke/news/113213-red-cross-leads-emergency-rescue-after-boat-gets-stuck-dangerous-lamu-waters,2025-06-17T17:29:30+0300,2025-06-18T06:51:02Z
